PLAYER_ID,PLAYER_NAME,OVERALL_TOTAL_SCORE,OVERALL_ROUNDS_PLAYED,OVERALL_GAMES_PLAYED,OVERALL_ACCURACY,OVERALL_AVERAGE_GAME_SCORE,OVERALL_HIGHEST_HEDGE_STREAK,OVERALL_AVERAGE_HEDGE_STREAK,OVERALL_MEDIAN_GAME_SCORE,OVERALL_MEDIAN_ROUND_SCORE,NM_TOTAL_SCORE,NM_ROUNDS_PLAYED,NM_GAMES_PLAYED,NM_ACCURACY,NM_HIGHEST_HEDGE_STREAK,NM_AVERAGE_HEDGE_STREAK,NM_AVG_GAME_SCORE,NM_MEDIAN_GAME_SCORE,NMPZ_TOTAL_SCORE,NMPZ_ROUNDS_PLAYED,NMPZ_GAMES_PLAYED,NMPZ_ACCURACY,NMPZ_HIGHEST_HEDGE_STREAK,NMPZ_AVERAGE_HEDGE_STREAK,NMPZ_AVG_GAME_SCORE,NMPZ_MEDIAN_GAME_SCORE
621688225a265e000124cc8d,GramenMystace,396225,150,30,0.5283,13207,0,0,14043,2914.5,396225,150,30,0.5283,0,0,13207.5,14043,,,,,,,,
622d5637fbf42a00013d06b1,flickshot,187442,65,13,0.5767446153846154,14418,0,0,14129,3196,187442,65,13,0.5767446153846154,0,0,14418.615384615385,14129,,,,,,,,
62501808475510c8f5f4ef79,Tom,545617,200,40,0.545617,13640,1,1,14231.5,2845.5,310216,100,20,0.620432,1,1,15510.8,15619.5,235401,100,20,0.470802,0,0,11770.05,12122.5
62615ba79810147e10f029ea,𝓝𝓲𝓰𝓱𝓽𝓰𝓸𝓭,59910,25,5,0.47928,11982,0,0,12641,2846,54666,20,4,0.54666,0,0,13666.5,13808.5,5244,5,1,0.20976,0,0,5244,5244
626be1db347a090f4e84683f,VehicleRonald,859831,240,48,0.7165258333333333,17913,3,1.38,18287,4108,859831,240,48,0.7165258333333333,3,1.38,17913.145833333332,18287,,,,,,,,
62942d7b391564acaee575be,kazuro,539710,200,40,0.53971,13492,1,1,13662.5,3078.5,539710,200,40,0.53971,1,1,13492.75,13662.5,,,,,,,,
62ab7d3b8c54d1371af90469,Levente Peter Kerekes,4624,5,1,0.18496,4624,0,0,4624,92,4624,5,1,0.18496,0,0,4624,4624,,,,,,,,
62bfd10dea6140a9ef5f3224,Program,968223,355,71,0.5454777464788733,13636,1,1,13562,2971,440503,155,31,0.5683909677419355,1,1,14209.774193548386,14564,527720,200,40,0.52772,1,1,13193,12814.5
62c0257a2e7b083b8fb3ffdf,yark,2075280,610,122,0.6804196721311475,17010,2,1.1,17286.5,3780.5,1615425,465,93,0.6948064516129032,2,1.1,17370.16129032258,17704,459855,145,29,0.6342827586206896,0,0,15857.068965517241,16273
62d17b25f827cbfd7205c25d,deshawn,731574,220,44,0.6650672727272727,16626,5,2,16174,3874,415020,120,24,0.6917,5,2,17292.5,17467,316554,100,20,0.633108,2,2,15827.7,15893.5
