SUBDIVISION,TOTAL_OCCURRENCES,TOTAL_ROUNDS,UNIQUE_PLAYERS,AVERAGE_SCORE,SCORE_STDEV
44.66924888649699,1,75,15,3025.786666666667,1650.8965830185186
42.94736406466073,1,75,15,3025.786666666667,1650.8965830185186
32.83699744150449,1,75,15,3025.786666666667,1650.8965830185186
124.2423628455707,1,75,15,3025.786666666667,1650.8965830185186
62.68919,1,80,16,3023.1,1492.6321683522706
55.49521,1,80,16,3023.1,1492.6321683522706
49.61505,1,80,16,3023.1,1492.6321683522706
46.59587,1,80,16,3023.1,1492.6321683522706
32.676695,1,80,16,3023.1,1492.6321683522706
99.63620403624074,1,100,20,3012.42,1704.9752208170064
62.00990316830824,1,100,20,3012.42,1704.9752208170064
60.725773009804264,1,100,20,3012.42,1704.9752208170064
48.9108124231877,1,100,20,3012.42,1704.9752208170064
41.50723167216441,1,100,20,3012.42,1704.9752208170064
81.81578,1,70,14,2944.8571428571427,1334.4825030776574
75.98058,1,70,14,2944.8571428571427,1334.4825030776574
50.818567,1,70,14,2944.8571428571427,1334.4825030776574
38.89007,1,70,14,2944.8571428571427,1334.4825030776574
34.62759,1,70,14,2944.8571428571427,1334.4825030776574
83.76296030890045,1,90,18,2931.0555555555557,1729.306247289236
51.622665699340715,1,90,18,2931.0555555555557,1729.306247289236
34.913776226318944,1,90,18,2931.0555555555557,1729.306247289236
135.47114470026918,1,90,18,2931.0555555555557,1729.306247289236
109.88296551451627,1,90,18,2931.0555555555557,1729.306247289236
83.78858477257444,1,110,22,2923.072727272727,1763.0536046565808
82.94938711612379,1,110,22,2923.072727272727,1763.0536046565808
62.351992496924794,1,110,22,2923.072727272727,1763.0536046565808
49.18337483839043,1,110,22,2923.072727272727,1763.0536046565808
39.074514926158194,1,110,22,2923.072727272727,1763.0536046565808
83.4516315534348,1,95,19,2852.4,1513.7166626343387
77.97908037610401,1,95,19,2852.4,1513.7166626343387
60.27921268692689,1,95,19,2852.4,1513.7166626343387
29.82498305386364,1,95,19,2852.4,1513.7166626343387
133.7959943766822,1,95,19,2852.4,1513.7166626343387
92.9071519024479,1,135,27,2827.688888888889,1777.7900741241417
74.51135885540789,1,135,27,2827.688888888889,1777.7900741241417
60.62151810442953,1,135,27,2827.688888888889,1777.7900741241417
43.93175750119477,1,135,27,2827.688888888889,1777.7900741241417
159.85082033516483,1,135,27,2827.688888888889,1777.7900741241417
72.437251473695,1,120,24,2817.2916666666665,1648.942486342046
59.3053478568994,1,120,24,2817.2916666666665,1648.942486342046
45.60259666784265,1,120,24,2817.2916666666665,1648.942486342046
35.30947013020845,1,120,24,2817.2916666666665,1648.942486342046
101.5654491538846,1,120,24,2817.2916666666665,1648.942486342046
64.33574731384135,1,95,19,2791.5263157894738,1654.3670555746196
44.60030763799048,1,95,19,2791.5263157894738,1654.3670555746196
44.12606010755874,1,95,19,2791.5263157894738,1654.3670555746196
22.414721964854834,1,95,19,2791.5263157894738,1654.3670555746196
22.19393342771201,1,95,19,2791.5263157894738,1654.3670555746196
